date,total,B117
2020-11-12,1444,4
2020-11-19,1691,0
2020-11-26,1760,3
2020-12-03,2284,5
2020-12-10,2874,12
2020-12-17,4085,35
2020-12-24,3608,64
2020-12-31,3915,80
2021-01-07,4154,154
2021-01-14,4035,284
2021-01-21,3685,470
2021-01-28,2659,518
2021-02-04,2233,662
2021-02-11,1956,922
2021-02-18,2388,1570
2021-02-25,1939,1472
